Hyder Bux Jatoi	Sydney G-Class Tram	Microlunatus lucidus	Ernst von Weizsäcker	Josephine Pon	Saab Viking	Lester Dragstedt	Jacques Hardel	
United Nations Development Corporation	There Was a Castle with Forty Dogs	Police misconduct allegations during the 2019–2020 Hong Kong protests	701 Oriola	Berievo	Otto I, Count of Burgundy	Sharlene Taulé	Austin ReBlend	Trianthema portulacastrum	Playa Made	Khaltipur railway station	Arizona's 14th legislative district	
Robin Hood's Bay railway station	Alferyevskaya	Cecilia Smith	Vadim Delaunay	2012–13 in French football	Art Langley	Die in a Gunfight	Joan Elwes	
Kazakhstan at the 2010 Asian Para Games	Open Water (film)	Nizhneye Zadolgoye	Nelon Pascal	Polyachyrus poeppigii	Cem Yılmaz	Quick release skewer	Megatech (Indonesian company)	
Brockman 2 mine	Helen Sildna	A.C.R. Alvorense 1º Dezembro	Bryanston Square	Marxist–Leninist League of Colombia	The Courtship of Andy Hardy	Berezina	Rowen, Conwy	
Station X (British TV series)	Eicon	Nymphargus rosada	Bill Dunk	Baetic Depression	Affendi Buang	O Jesu Christ, meins Lebens Licht, BWV 118	2006 French Socialist Party presidential primary	
Jacques Legendre (French politician)	Les Liaisons dangereuses (film)	Trump Card (2009 film)	Milton Morrison	Ihor Koshman	Bob van Pareren	Operator overloading	Dave Conway	
Hyde Park Firehouse	List of members of the United States House of Representatives in the 79th Congress by seniority	Methodist-Protestant Church at Fisher's Landing	Switchyard reactor	Battle of Xinfeng	Paul Staight	Henry Robert Addison	List of birds of Southern Africa	
National LGBTQ+ Bar Association	Dance Se Puder (season 1)	Wakako Hironaka	Ei Jibon Nohoi Xuna Bondhu	Marianne Beth	Preston Town Hall	Ashoknagar district	Mill Creek (Hudson River tributary)	
Frank Watson (cricketer)	Sudan University of Science and Technology	Kristek House	Ralph McLane	Namgen	2000–01 Utah Jazz season	Longiculter siahi	Marttila (surname)	
Croft Spa railway station	Péter Szilvási	Manendragarh	National Observer (United States)	Galuapur Inter College	Alfred Freund-Zinnbauer	Lahar (god)	Electoral district of Northern Tablelands	
Nicholas Ross (cricketer)	Recomeço	Larry Beinhart	Dino Maamria	Israel Worsley	Jamal Ismayilov	Dong Yu (footballer)	Henry Thomas Reed	
Gayrabetov Mansion	Nusraat Faria	Voluntary Partnership Agreement	Jacques Feyder	Tyler Peak	Pearls to Pigs	Percy Carpenter	The Times	
Tom Clancy's Splinter Cell: Conviction	Fanny Murdaugh Downing	Bucov	Marcel-Auguste Dieulafoy	Seethakaathi	Adams River (New Zealand)	Lasius platythorax	Osman Durmuş	
Frederick Walter Simms	Pestalopezia	Chernyshev (rural locality)	Grimmelshausen	Danny Coale	Lizzie Holden	Château de Verteuil (Lot-et-Garonne)	Isturgia miniosaria	Kagerplassen	Fabric of Security	Liam Gordon (footballer, born 1996)	David Lynch discography	
